Model,Train MAE,Train MSE,Train RMSE,Train R^2,Test MAE,Test MSE,Test RMSE,Test R^2
Linear Regression,2399.0257772489003,11825003.329810003,3438.75025696982,0.4537469729984972,2354.890901292634,10227154.613129836,3197.992278466262,0.49660931518648654
Ridge Regression,2399.0138186756044,11825003.615804538,3438.7502985539004,0.45374695978705226,2354.8820423192924,10227241.160612276,3198.005809971626,0.4966050552336353
Lasso Regression,2398.851171106081,11825034.132545574,3438.7547357358267,0.4537455500739469,2354.761381244695,10228427.06671717,3198.191217972617,0.4965466837599606
ElasticNet Regression,2479.8523294118086,12577792.557966469,3546.5183712997273,0.41897206570202694,2456.925649746811,11089593.620430956,3330.1041455832815,0.45415921260000225
Decision Tree,320.9612014021669,648015.6765256532,804.9942090013152,0.9700650803239772,1362.7432712215323,5982284.008971705,2445.870807907013,0.7055460528425898
Random Forest,576.6636795753907,1017710.0836451711,1008.8161793137396,0.9529871410353286,1186.8384332841072,3882413.896060403,1970.3842001143846,0.8089037406984847
Gradient Boosting,1477.6459220787508,4568408.747669357,2137.383622017666,0.7889635176081911,1523.413390911365,4786823.5924747335,2187.88107365888,0.764387799202352
SVR,3413.701396626623,20766702.918372042,4557.049804245291,0.04068743038705458,3396.758381156888,19140766.318333678,4375.016150636895,0.05787251397652249
